championId,win,kills,deaths,assists,visionScore,controlWardsBought,totalGold,f10_goldPerMin,creepScore,f10_csPerMin,f10_csDiffPerMin,f10_xpPerMin,f10_xpDiffPerMin,firstBloodKill,firstBloodAssist,firstBloodTakedown,firstTowerKill,firstTowerAssist,firstTowerTakedown,team_firstDragon,team_firstHerald,team_firstBaron,team_dragonKills
31,True,4,2,8,17,2,10150,340.79999999999995,160,5.9,,491.5,,False,False,False,False,False,False,True,True,True,4
31,True,7,2,4,12,2,10017,267.7,139,5.699999999999999,-0.40000000000000036,433.90000000000003,58.60000000000002,False,False,False,True,False,True,True,True,True,1
150,False,0,9,3,15,2,6063,237.10000000000002,113,6.5,-1.5,417.1,-89.29999999999998,False,False,False,False,False,False,False,True,False,1
39,False,1,8,5,19,2,8340,250.60000000000002,189,7.0,1.2000000000000006,393.6,-54.900000000000006,False,False,False,False,False,False,False,False,False,1
39,False,2,8,0,18,3,7970,294.6,173,7.1,0.3999999999999999,379.8,-76.0,True,False,True,False,False,False,True,False,False,1
6,False,3,4,0,12,2,8308,292.7,157,7.0,,495.9,,False,False,False,False,False,False,False,False,False,1
266,True,12,5,15,27,5,12263,374.4,119,4.5,,364.1,,True,False,True,False,False,False,True,False,True,4
31,True,2,6,5,15,3,7159,240.9,109,5.0,,377.5,,False,False,False,False,False,False,True,True,True,3
133,True,9,4,12,40,9,14029,238.7,167,7.5,-1.0000000000000004,466.20000000000005,-21.99999999999997,False,False,False,False,False,False,True,True,True,4
6,False,5,4,3,21,4,9971,261.1,155,6.199999999999999,0.2999999999999998,422.0,15.699999999999989,False,False,False,False,False,False,False,False,False,0
